product_url,product_id,product_name,merchant_url,size
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/d09e3ca8-128e-5e22-bdb5-08bae902535a/f8c1a871-08dd-531e-bf0e-47776f61d0b1/b61d0e5f-07c9-57f4-bd49-c76916499262,b61d0e5f-07c9-57f4-bd49-c76916499262,"Bai Antioxidant Infusion Water, Kula Watermelon (18 fl oz)",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,18 fl oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/a7836f36-5fb1-53f1-a60d-9ed1ccc96900/f8c1a871-08dd-531e-bf0e-47776f61d0b1/8ba4bfb5-88d3-5f41-b2cb-a6f06a980bca,8ba4bfb5-88d3-5f41-b2cb-a6f06a980bca,"Oral-B Clic Toothbrush Replacement Brush Heads, Black, 2 Count",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/bd3cef24-9535-5788-8ec2-0326cc15e5be/f8c1a871-08dd-531e-bf0e-47776f61d0b1/6ecc4525-8c1c-5a16-b300-62b19ebb475b,6ecc4525-8c1c-5a16-b300-62b19ebb475b,Lindt Excellence 70% Cocoa Dark Chocolate (3.5 oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,3.5 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/60294af8-90ed-5a06-8f27-a418a26fa383/f8c1a871-08dd-531e-bf0e-47776f61d0b1/5d75c8b6-2642-52ed-bb88-e2a982c0b2fc,5d75c8b6-2642-52ed-bb88-e2a982c0b2fc,"Diabetes Doctor Capsules Carb & Sugar Blocker, 45 Pcs (4.8 oz)",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,4.8 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/716b222e-dbf0-5e2c-8263-03a1842ad369/f8c1a871-08dd-531e-bf0e-47776f61d0b1/285da2f3-dc21-574f-823d-f426c435bd0a,285da2f3-dc21-574f-823d-f426c435bd0a,Black Girl Sunscreen Make It Glow Spf 30 Sunscreen Spray (3 oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,3 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/0b14b9b5-752a-5f63-a271-5a7a3e5acf10/f8c1a871-08dd-531e-bf0e-47776f61d0b1/316055b0-48dd-501c-97eb-03dde5279240,316055b0-48dd-501c-97eb-03dde5279240,"One+Other Flexible Cotton Swabs, 500Ct",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/fada0f48-8fed-52f5-a0a4-f47935f3fe6a/f8c1a871-08dd-531e-bf0e-47776f61d0b1/e439be4a-ed7e-570f-b6d5-12fc55e224d1,e439be4a-ed7e-570f-b6d5-12fc55e224d1,"Helados Mexico Premium Ice Cream Bars (16.5 fl oz, 6 ct)",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,"16.5 fl oz, 6 ct"
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/a2f9a179-fe7f-50ad-abfd-c4d950151a99/f8c1a871-08dd-531e-bf0e-47776f61d0b1/228cc700-7518-5584-be7e-f36978a99f75,228cc700-7518-5584-be7e-f36978a99f75,"Gain + Odor Defense Liquid Fabric Softener, Super Fresh Blast Scent, 60 Loads, He Compatible, 51 Fl Oz",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/bd3cef24-9535-5788-8ec2-0326cc15e5be/f8c1a871-08dd-531e-bf0e-47776f61d0b1/3aa04f0e-3e23-554f-a37c-36b06414e2ba,3aa04f0e-3e23-554f-a37c-36b06414e2ba,Lindt Excellence 90% Cocoa Supreme Dark Chocolate (3.5 oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,3.5 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/fada0f48-8fed-52f5-a0a4-f47935f3fe6a/f8c1a871-08dd-531e-bf0e-47776f61d0b1/bad6f0fd-6b66-54f0-93a2-ee7749ecd4de,bad6f0fd-6b66-54f0-93a2-ee7749ecd4de,Amy's Kitchen Mexican Casserole Bowls (9.5 oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,9.5 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/7a48805e-bf66-5599-a456-8e891c5f26f1/f8c1a871-08dd-531e-bf0e-47776f61d0b1/c96e46b6-5620-54c2-9ad6-b2378e462f06,c96e46b6-5620-54c2-9ad6-b2378e462f06,Applied Nutrition Tropical Strawberry & Kiwi Flavored Liquid Collagen (3.5 oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,3.5 oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/80510aad-ae25-55bb-99f3-9d192423a4ac/f8c1a871-08dd-531e-bf0e-47776f61d0b1/19acda26-4dba-5ae9-95aa-36517cd3c794,19acda26-4dba-5ae9-95aa-36517cd3c794,"Pilot G2 Edge Premium Gel Roller Fine Point Pens, Black (5 ct)",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,5 ct
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/80510aad-ae25-55bb-99f3-9d192423a4ac/f8c1a871-08dd-531e-bf0e-47776f61d0b1/52baef9d-cd81-5919-a13f-b292842cbd52,52baef9d-cd81-5919-a13f-b292842cbd52,"Pilot Frixion Point Synergy Clicker Pens, Black (2 ct)",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,2 ct
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/8ddbf141-91db-5e14-8f33-1c49cd7145ff/f8c1a871-08dd-531e-bf0e-47776f61d0b1/21714264-07e3-5ae5-aa4a-9556e202f2f9,21714264-07e3-5ae5-aa4a-9556e202f2f9,Maybelline 961 Very Black Lash Stiletto Waterproof Mascara (22 fl oz),https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,22 fl oz
https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw/a7836f36-5fb1-53f1-a60d-9ed1ccc96900/f8c1a871-08dd-531e-bf0e-47776f61d0b1/489be2a1-484c-543c-b6fb-4cfb1ee165b4,489be2a1-484c-543c-b6fb-4cfb1ee165b4,"Arm & Hammer Spinbrush Pro+ Gum Health Toothbrush, Soft Bristles",https://www.ubereats.com/store/cvs-4610-centre-avenue/uGeB1_wgXOyFlKRbvChENw,
