search_term,store_uuid,latitude,longitude,merchant_name
truly,86e3e3b8-5b8f-4011-8035-8de39467b688,40.462235,-79.927208,Uber Eats - Wingstop (5836 Penn Avenue)
truly,9b1896c0-bb8d-5763-a67e-52357782dc64,37.78896,-90.44014,Uber Eats - Jimmy John's (1251 Maple St)
truly,e5e22412-b1a5-4086-90bc-c8b37b2c310b,40.4282233,-79.975144,Uber Eats - Dancing Crab Thai Noodle House
truly,cd14a56f-365e-58dc-a6ff-9178ab6bcefc,40.47272,-80.0727,Uber Eats - Fox's Pizza Den (659 Woodward Ave)
truly,76396798-76f4-4c4e-9cb9-034fa42d6806,40.5394113,-80.0360832,Uber Eats - Perrytowne Draft House
truly,48d06220-c2c3-4be2-b0c8-90aa3296a7fc,40.438645,-79.9842764,Uber Eats - Pizza Care
truly,3c6bd13c-0ba8-4d39-b33c-21c0255134da,36.52371,-76.78959,Uber Eats - Doris & Roger's Kitchen
truly,17f4791a-77b0-590b-a034-9f2bc24be37a,37.78705,-90.41764,Uber Eats - Pizza Hut (221 Karsch Blvd)
truly,46efbc40-c30d-5c32-b333-a55e7789b19b,40.4435433,-79.9960097,Uber Eats - Pizza Bari
truly,e43db7ba-8555-5208-81f5-a72c3758b9d0,40.4191165,-79.9274336,Uber Eats - Speedway (4420 Brownshill Rd)
truly,407eff82-f7a7-500e-abd6-e058357c58a6,40.4418204,-79.8792717,Uber Eats - N G Fish and Chicken
truly,2967d8d3-748d-4ca5-b1f6-3165aa1bf0ab,40.4287423,-79.980874,Uber Eats - Insomnia Cookies (1734 E. Carson Street)
truly,da63696e-1b40-5eb9-b29a-c8b77ca83247,37.78805,-90.42073,Uber Eats - Little Caesars (17 W. Karsch Blvd.)
truly,a82554bb-8912-5252-a40a-13288fdb0e36,37.79425,-90.43991,Uber Eats - GNC (Beishir Valley Business C)
truly,be4a778c-d0da-5ef4-ae81-abefa21b13ec,40.3451846,-79.9395012,Uber Eats - REBEL Convenience Stores (6999 Clairton Road)
truly,607fdd6a-2a19-429a-9904-1eaaa888d31b,40.4102439,-79.9902277,Uber Eats - Vocelli Pizza (617 Brownsville Road)
truly,d7c4939a-c2a1-467d-8685-d107404d2efd,36.7249865,-76.6360044,Uber Eats - Arby's (1516 HOLLAND RD)
truly,8cf15241-15d9-4dfe-81fc-f52f225f5ff0,40.4362165,-79.9579788,Uber Eats - Panera (3401 Boulevard of the Allies )
truly,76b3a271-03c3-473a-b8b3-9ffbedc30803,40.4498675,-80.0186524,Uber Eats - Taco Bell (705 Allegheny Avenue)
truly,49e76ee7-943c-5be2-a972-dd794a1d10bc,37.78846,-90.43124,Uber Eats - Imo's Pizza (Farmington)
